name,brand,servingSizeG,servingUnit,calories,proteinG,carbsG,fatG,fiberG,sodiumMg,sugarG,saturatedFatG,transFatG,cholesterolMg,potassiumMg,source
Fajita Vegan Bowl,Qdoba,482,g,530,17,79,17,22,1350,7,2.5,0,0,1110,qdoba
ImpossibleTM Taco Salad *select locations only*,Qdoba,400,g,520,31,46,23,18,1180,4,10,0,30,1350,qdoba
Keto Bowl - Brisket Birria,Qdoba,340,g,370,25,13,25,7,1110,4,9,0.5,80,890,qdoba
Keto Bowl - Chicken,Qdoba,340,g,400,33,11,26,7,990,3,9,0,155,1070,qdoba
Keto Bowl - Steak,Qdoba,340,g,490,25,13,38,7,940,4,14,0,100,890,qdoba
Quesabirria Burrito,Qdoba,569,g,980,46,124,95,19,2600,6,17,1,100,890,qdoba
Quesabirria Quesadilla,Qdoba,456,g,1080,55,67,127,6,2430,6,35,2.5,210,720,qdoba
Southwest Steak Burrito,Qdoba,498,g,1220,43,134,58,19,2480,6,16,1.5,90,900,qdoba
Street Style Chicken Tacos (3) Flour,Qdoba,311,g,550,29,46,28,8,1690,6,8,0,100,850,qdoba
Street Style Pork Carnitas Tacos (3) Flour,Qdoba,238,g,370,23,38,13,4,1500,3,6,0,55,190,qdoba
Citrus Lime Shrimp - Entrée portion (10 pieces),Qdoba,96,g,80,14,,2,,1040,,0.5,,115,30,qdoba
Citrus Lime Shrimp - Taco/Mini bowl portion (4 pieces),Qdoba,39,g,30,6,,1,,410,,0,,45,10,qdoba
Surf & Turf - Entrée portion (8 pieces shrimp + 3.5 oz steak),Qdoba,176,g,420,31,5,30,,1430,2,11,1,175,364,qdoba
Tortilla Soup - (4 oz.),Qdoba,113,g,35,1,6,2.5,0.84,660,1,0,0,0,144,qdoba
"Apple Sauce, Natural",Qdoba,111,g,50,0,13,0,1,0,11,0,0,0,85,qdoba
Black Beans (2 oz.),Qdoba,57,g,70,5,12,0,7,170,0,0,0,0,180,qdoba
Cilantro Lime Rice (2 oz.),Qdoba,57,g,90,2,19,1.5,1,190,0,0,0,0,15,qdoba
"Flour Tortilla (5.5"")",Qdoba,24,g,70,2,12,1.5,1,170,0,0.5,0,0,25,qdoba
Grilled Chicken (1.75 oz.),Qdoba,50,g,90,10,1,6,0,220,0,1.5,0,45,320,qdoba
Grilled Steak (1.75 oz.),Qdoba,50,g,180,10,2,14,0,300,1,5,0.5,40,170,qdoba
Hand Smashed Guac (1 oz.),Qdoba,28,g,40,1,2,4,2,80,0,0.5,0,0,130,qdoba
Pinto Beans (2 oz.),Qdoba,57,g,70,4,12,0,7,180,0,0,0,0,220,qdoba
Pork Carnitas (2 oz.),Qdoba,57,g,60,8,0,2.5,0,320,0,1.5,0,25,10,qdoba
Seasoned Brown Rice (2 oz.),Qdoba,57,g,90,2,18,1,1,125,0,0,0,0,70,qdoba
Shredded Cheese (0.5 oz.),Qdoba,14,g,60,3,0,4.5,0,90,0,2.5,0,15,15,qdoba
Sour Cream (1 oz.),Qdoba,28,g,50,1,3,5,0,10,1,3,0,15,40,qdoba
Three Cheese Queso (1 oz.),Qdoba,28,g,40,1,1,4,0,170,0,2.5,0,10,25,qdoba
Tortilla Chips (2 oz.),Qdoba,57,g,280,3,37,13,5,110,1,2,0,0,0,qdoba
Side (black beans w/ cheese),Qdoba,77,g,150,9,13,7,7,290,1,3.5,0,20,200,qdoba
Barq's Root Beer (Reg),Qdoba,20,fl oz,280,0,73,0,0,110,73,0,0,0,0,qdoba
Barq's Root Beer (Lrg),Qdoba,30,fl oz,430,0,110,0,0,160,110,0,0,0,0,qdoba
Caffeine Free Diet Coke (Reg),Qdoba,20,fl oz,0,0,0,0,0,65,0,0,0,0,0,qdoba
Caffeine Free Diet Coke (Lrg),Qdoba,30,fl oz,0,0,0,0,0,100,0,0,0,0,0,qdoba
Cherry Coca-Cola (Reg),Qdoba,20,fl oz,270,0,69,0,0,65,69,0,0,0,0,qdoba
Cherry Coca-Cola (Lrg),Qdoba,30,fl oz,400,0,104,0,0,100,104,0,0,0,0,qdoba
Coca-Cola Zero (Reg),Qdoba,20,fl oz,0,0,0,0,0,65,0,0,0,0,100,qdoba
Coca-Cola Zero (Lrg),Qdoba,30,fl oz,0,0,0,0,0,100,0,0,0,0,150,qdoba
Coca-Cola (Reg),Qdoba,20,fl oz,240,0,67,0,0,80,67,0,0,0,0,qdoba
Coca-Cola (Lrg),Qdoba,30,fl oz,360,0,100,0,0,120,100,0,0,0,0,qdoba
Diet Coke (Reg),Qdoba,20,fl oz,0,0,0,0,0,65,0,0,0,0,0,qdoba
Diet Coke (Lrg),Qdoba,30,fl oz,0,0,0,0,0,100,0,0,0,0,0,qdoba
Diet Dr. Pepper (Reg),Qdoba,20,fl oz,0,0,0,0,0,95,0,0,0,0,0,qdoba
Diet Dr. Pepper (Lrg),Qdoba,30,fl oz,0,0,0,0,0,140,0,0,0,0,0,qdoba
Dr. Peppers (Reg),Qdoba,20,fl oz,250,0,67,0,0,90,65,0,0,0,0,qdoba
Dr. Peppers (Lrg),Qdoba,30,fl oz,390,0,100,0,0,140,98,0,0,0,0,qdoba
Fanta Orange (Reg),Qdoba,20,fl oz,270,0,73,0,0,90,73,0,0,0,0,qdoba
Fanta Orange (Lrg),Qdoba,30,fl oz,410,0,110,0,0,135,110,0,0,0,0,qdoba
Hi-C Flashin Fruit Punch (Reg),Qdoba,20,fl oz,270,0,74,0,0,45,74,0,0,0,0,qdoba
Hi-C Flashin Fruit Punch (Lrg),Qdoba,30,fl oz,400,0,111,0,0,70,111,0,0,0,0,qdoba
Mello Yello (Reg),Qdoba,20,fl oz,290,0,78,0,0,80,78,0,0,0,0,qdoba
Mello Yello (Lrg),Qdoba,30,fl oz,440,0,117,0,0,120,117,0,0,0,0,qdoba
Minute Maid Lemonade(HFCS) Reg,Qdoba,20,fl oz,280,0,72,0,0,35,70,0,0,0,60,qdoba
Minute Maid Lemonade(HFCS) Lrg,Qdoba,30,fl oz,410,0,109,0,0,55,105,0,0,0,90,qdoba
